TransactionAmt,fraud_probability,risk_tier,actual,HourOfDay,card6
107.95,0.00067289965,Clear,0,0,1
37.021,0.0067965267,Clear,0,3,2
59.0,0.0005017139,Clear,0,22,2
57.95,0.0005337409,Clear,0,3,2
107.95,0.00020614003,Clear,0,17,2
59.0,0.015211505,Clear,0,14,1
13.71,0.0019885984,Clear,0,4,2
30.95,0.0008655871,Clear,0,1,2
59.0,0.00029242007,Clear,0,14,1
117.0,0.0021908444,Clear,0,12,2
51.5,0.00015524431,Clear,0,20,2
28.158,0.0034903132,Clear,0,6,1
117.0,0.018861134,Clear,0,12,2
103.97,0.00554054,Clear,0,2,1
39.0,0.0003700654,Clear,0,23,2
49.0,0.002298979,Clear,0,19,2
44.0,0.002424875,Clear,0,21,2
23.608,0.0053851167,Clear,0,18,2
59.0,0.005496745,Clear,0,23,2
213.0,0.004606007,Clear,0,19,1
57.95,0.0011364444,Clear,0,1,2
32.023,0.000990547,Clear,0,3,1
59.95,0.008938191,Clear,0,22,2
43.97,0.0019939714,Clear,0,6,2
213.0,0.017631318,Clear,0,1,2
58.95,7.439797e-06,Clear,0,18,2
335.0,0.0031846128,Clear,0,1,2
21.751,6.4868786e-06,Clear,0,5,2
59.0,0.005182753,Clear,0,21,2
52.95,0.0046199346,Clear,0,13,2
57.95,4.4216675e-05,Clear,0,17,2
107.95,8.864985e-05,Clear,0,23,2
35.95,0.00045206735,Clear,0,0,2
156.186,0.018262696,Clear,0,23,1
2508.16,1.8988187e-05,Clear,0,12,1
14.501,0.02156914,Clear,0,2,1
107.95,5.4320695e-05,Clear,0,2,2
554.0,0.02267881,Clear,0,13,2
226.0,0.00068047165,Clear,0,2,2
226.0,0.0041587846,Clear,0,15,2
39.0,0.0013956312,Clear,0,17,2
15.951,0.002684793,Clear,0,5,2
36.146,0.082918964,Clear,0,21,2
304.96,0.027185354,Clear,0,0,1
18.368,0.03426081,Clear,0,11,1
25.95,0.00013700721,Clear,0,16,2
250.0,0.00043491193,Clear,0,19,1
25.95,0.00024111781,Clear,0,2,2
45.0,0.0021618425,Clear,0,21,1
57.95,0.0007126259,Clear,0,18,2
117.0,0.0057836175,Clear,0,16,2
107.95,0.000622563,Clear,0,14,2
100.0,0.0074737296,Clear,0,19,1
87.95,0.0008710128,Clear,0,17,2
44.99,0.0028089469,Clear,0,16,1
57.95,0.0034058818,Clear,0,22,2
150.0,0.02963161,Clear,0,19,1
50.0,0.013509805,Clear,0,1,2
11.427,0.91123676,Critical Risk,1,18,1
117.0,0.0011181766,Clear,0,15,2
25.699,0.0014894578,Clear,0,15,2
107.0,0.017499158,Clear,0,19,2
10.96,0.99775225,Critical Risk,1,18,2
50.0,0.007241465,Clear,0,21,2
32.868,0.077360965,Clear,0,16,1
34.0,0.000188023,Clear,0,4,1
884.0,0.003396948,Clear,0,22,2
221.99,0.00017954782,Clear,0,18,2
102.0,0.0002011819,Clear,0,22,2
852.94,0.0025262705,Clear,0,0,2
117.0,0.004540054,Clear,0,19,2
163.0,0.0003581248,Clear,0,20,2
77.0,0.00010855985,Clear,0,18,2
159.95,3.52253e-05,Clear,0,5,2
73.97,0.0010653193,Clear,0,18,2
24.0,0.0008271009,Clear,0,16,2
59.0,0.00018378913,Clear,0,2,2
226.0,0.0102185365,Clear,0,17,2
378.0,0.00093197555,Clear,0,16,2
35.95,0.0006141163,Clear,0,3,2
117.0,0.0010780811,Clear,0,16,2
117.0,0.0019575246,Clear,0,16,2
100.0,0.00015257603,Clear,0,20,2
335.0,0.0031862026,Clear,0,19,2
67.95,0.0033350156,Clear,0,22,2
34.105,0.0016044833,Clear,0,5,1
171.0,0.0046773097,Clear,0,20,1
100.0,0.007490589,Clear,0,22,2
365.0,0.7883018,Critical Risk,1,2,2
47.95,6.122175e-05,Clear,0,1,2
57.95,2.3565199e-05,Clear,0,12,2
59.0,9.4053736e-05,Clear,0,16,2
117.0,0.002353261,Clear,0,19,2
49.0,0.0042774165,Clear,0,23,1
59.0,0.025749916,Clear,0,20,1
112.0,0.00012400642,Clear,0,9,2
49.0,0.000667713,Clear,0,23,2
58.95,0.0022613378,Clear,0,19,2
54.0,0.009292147,Clear,0,21,1
75.0,0.0038423687,Clear,0,18,2
24.5,0.0008758861,Clear,0,13,2
35.95,0.0010906939,Clear,0,19,2
34.0,0.0025707958,Clear,0,16,2
439.95,0.00090392557,Clear,0,12,2
39.0,0.0023651698,Clear,0,1,2
117.0,0.015364679,Clear,0,15,1
200.0,0.00045572233,Clear,0,18,1
1264.95,0.0017113864,Clear,0,1,2
36.519,0.016835779,Clear,0,23,1
30.95,0.00016519692,Clear,0,21,2
445.0,0.0016008096,Clear,0,21,2
117.0,0.012022656,Clear,0,10,2
87.0,0.0066826446,Clear,0,16,2
92.0,0.0005902478,Clear,0,18,2
75.0,0.0014800266,Clear,0,17,1
29.879,0.00035828684,Clear,0,2,1
117.0,0.0009973956,Clear,0,16,2
39.0,0.00034877742,Clear,0,19,2
54.5,9.052841e-05,Clear,0,22,2
19.92,0.00028894233,Clear,0,2,1
134.95,0.0005067026,Clear,0,19,2
147.95,3.330148e-05,Clear,0,15,2
49.0,0.0013764519,Clear,0,15,2
236.95,0.00045787817,Clear,0,22,2
